CarrierCode,Airline,Url,Info
ATN,Air Transport International,https://www.airtransport.cc/about/history,
BOX,Aero Logic,https://www.aerologic.aero/home,German cargo works with DHL
CAO,Air China Cago,https://www.airchinacargo.com/cargo_en/index_pc.html,
CKK,China Cago,https://www.ckair.com/index.html,Also China King Cargo
CKS,Kalitta Air,https://www.kalittaair.com/,Large specialized freight company serving DoD USPS and industry. Founded by drag racer
CLX,Cargolux Airlines,https://www.cargolux.com/,Large specialized shipment around world
CSG,China Southern Cargo,https://www.csair.com/us/en/about/nanhanghuoyun/,
DHK,DHL Air Freight,https://www.dhl.com/
FDX,Fedex,https://fedex.com/,
PCM,WestAir,https://www.westair.net/,FedEx Feeder company
UPS,UPS Airlines,https://www.aircargo.ups.com/,
