CarrierCode,Airline,Url,Info
AAL,American Airlines,https://www.aa.com/
AAR,Asiana Airlines,https://flyasiana.com/
AAY,Allegiant Air,https://www.allegiantair.com/
ACA,Air Canada,https://www.aircanada.com/
AFR,Air France,https://wwws.airfrance.us/
AIC,Air India,https://www.airindia.com/
AMX,AeroMexico,https://www.aeromexico.com/
ANA,All Nippon Airways,https://www.ana.co.jp/en/us/
ANZ,Air New Zealand,https://www.airnewzealand.com/
APZ,Air Premia,https://www.airpremia.com/
ASA,Alaska Airlines,https://www.alaskaair.com/
BAW,British Airways,https://www.britishairways.com/
CAL,China Airlines
CES,China Eastern Airlines
CHH,Hainan Airlines,https://www.hainanairlines.com/US/US/Home
CKS,
CMP,Copa Airlines
CPA,Cathay Pacific
CSN,China Southern Airlines
CXK,
DAL,Delta Air Lines
DLH,
EIN,Aerlingus,https://www.aerlingus.com/html/en-IE/home.html
ENY,Envoy Air
EVA,EVA Air
FBU,French Bee,https://www.frenchbee.com/
FLE,Flair Airlines,https://flyflair.com/
FFT,
FJI,Fiji Airways
HAL,Hawaiian Airlines
HVN,Vietname Airlines,https://www.vietnamairlines.com/us/en/home
JAL,Japan Airlines
JBU,JetBlue
JSX,Delux Public Charter
JZA,Jazz Aviation
KAL,Korean Air
KLM,KLM
MXY,Breeze Airways
NF,
NKS,Spirit Airlines
PAL,Philippine Airlines
POE,Porter Airlines,https://www.flyporter.com/en-us/
QTR,Qatar Airways
QXE,Horizon Air
SAS,Scandinavian Airlines,https://www.flysas.com/
SCW,SkyWest Charter,https://www.skywestcharter.com/
SCX,Sun Country
SIA,Singapore Airlines
SJX,
SKW,SkyWest Airlines
SWA,Southwest Airlines
SWR,Swiss International Airlines,https://www.swiss.com/us/en/homepage
TAI,Taca International Airlines
TAP,Air Portugal,https://www.flytap.com/en-us
THY,Turkish Airlines,https://www.turkishairlines.com/
TZP,
UAE,Emirates,https://www.emirates.com/us/english/
UAL,United Airlines
VIR,Virgin Atlantic,https://www.virginatlantic.com/en-US
VIV,Viva Aerobus,https://www.vivaaerobus.com/en-us/
VJA,
VOI,Volaris
VXP,
WJA,WestJet
WSN,Advanced Air,https://advancedairlines.com/
